FilePath,LineNum,Link
./docs/pipeline_deploy/serving_deploy_en.md,58,./high_performance_deploy_en.md
./docs/pipeline_deploy/serving_deploy_en.md,78,../pipeline_usage/tutorials/ocr_pipelines/layout_parsing_en.md
./docs/pipeline_deploy/serving_deploy_en.md,94,./high_performance_deploy_en.md
./docs/pipeline_deploy/edge_deploy.md,1,lite_edge_en.md
./docs/pipeline_deploy/edge_deploy.md,78,https://developer.android.google.cn/ndk/downloads
./docs/pipeline_deploy/edge_deploy.md,111,https://developer.android.com/studio
./docs/pipeline_deploy/edge_deploy.md,243,https://github.com/PaddlePaddle/Paddle-Lite-Demo/blob/feature/paddle-x/docs_img/object_detection/PicoDet-S.jpg?raw=true
./docs/pipeline_deploy/edge_deploy.md,314,https://github.com/PaddlePaddle/Paddle-Lite-Demo/tree/feature/paddle-x/object_detection/android/shell/cxx/picodet_detection
./docs/pipeline_deploy/edge_deploy.md,315,https://github.com/PaddlePaddle/Paddle-Lite-Demo/blob/feature/paddle-x/semantic_segmentation/android/shell/cxx/semantic_segmentation/README.md
./docs/pipeline_deploy/edge_deploy.md,316,https://github.com/PaddlePaddle/Paddle-Lite-Demo/blob/feature/paddle-x/image_classification/android/shell/cxx/image_classification/README.md
./docs/pipeline_deploy/edge_deploy.md,317,https://github.com/PaddlePaddle/Paddle-Lite-Demo/blob/feature/paddle-x/ocr/android/shell/ppocr_demo/README.md
./docs/pipeline_deploy/edge_deploy.md,321,https://github.com/PaddlePaddle/PaddleX/issues/new/choose
./docs/pipeline_deploy/high_performance_inference.md,133,https://github.com/openvinotoolkit/openvino
